college,percentage,Location,Stream
"St.Xavier'S College, Fort, Mumbai. (English Medium) (Aided)",93.4,Mumbai,Arts
"Ramnivas Ruia Junior College, Matunga, Mumbai. (English Medium) (Aided)",92,Mumbai,Arts
"V. G. Vaze College Of Arts Sci And Commerce, Mithagar Road, Mulund (East). (English Medium) (Aided)",86.4,Mumbai,Arts
"Mithibai College,Vile Parle (West), Mumbai. (English Medium) (Aided)",85.4,Mumbai,Arts
"D. G. Ruparel College Of Arts,Sci & Comm., Mahim, Mumbai. (English Medium) (Aided)",85,Mumbai,Arts
"Jai Hind College Basantsing Institute Of Science J T Lalvani College Of Commerce, Churchgate (West) (English Medium) (Aided)",83.2,Mumbai,Arts
"K. J. Somaiya Jr. College Of Arts & Commerce Vidyavihar, Mumbai 77 (English Medium) (Aided)",81.4,Mumbai,Arts
Kishinchand Chellaram College (K. C. College) Churcugate. (English Medium) (Aided),74.4,Mumbai,Arts
"B K Birla College Of Arts, Science & Commerce, Kalyan (W). (English Medium) (Aided)",74.2,Mumbai,Arts
"Wilson College, Chowpatty, Mumbai. (English Medium) (Aided)",72.2,Mumbai,Arts
St Andrew'S College Of Arts Sci & Com (English Medium) (Aided),70.4,Mumbai,Arts
"K. E. S. Jr. College Of Arts & Com, Kandivali (West) (English Medium) (Permanent Unaided)",70.2,Mumbai,Arts
"Royal College Of Arts, Science & Commerce, Penkar Pada, Mira Road (E) (English Medium) (Aided)",69,Mumbai,Arts
"S. K. Somaiya Vinay Mandir High School And Jr College, Vidhavihar. (English Medium) (Aided)",65.2,Mumbai,Arts
"K.E.S. V.K. High School & Jr. College, Panvel (Marathi Medium) (Aided)",60.8,Mumbai,Arts
K.G.Joshi College Arts & N.G.Bedekar College Commerce Thane West (English Medium) (Aided),60,Mumbai,Arts
"Shankarrao Chavan Vidyalaya & Jr. College, Kamothe (Marathi Medium) (Unaided)",60,Mumbai,Arts
"Elphinstone College, Fort, Mumbai. (English Medium) (Government)",57.2,Mumbai,Arts
"Sies College Of Arts, Science & Comm., Sion (West), Mumbai. (English Medium) (Aided)",57,Mumbai,Arts
"Bhavan'S College Of Arts, Com & Sci. Andheri West (English Medium) (Aided)",56.8,Mumbai,Arts
"Prayesh Marathi & English Jr. College, Sector 9, Kalamboli. (English Medium) (Self Finance)",56,Mumbai,Arts
"Swami Vivekanand High School & Jr College, Chembur (English Medium) (Aided)",53.8,Mumbai,Arts
"N. G. Acharya & D. K. Marathe College Of Arts, Science & Commerc Chembur Mumbai 71 (English Medium) (Aided)",52,Mumbai,Arts
S. S. & L. S. Patkar College Goregaon West (English Medium) (Aided),51.2,Mumbai,Arts
"Sathaye College Of Arts, Com & Sci (English Medium) (Aided)",51,Mumbai,Arts
